Hole#,Depth,Date,Time,Dip,Azimuth,SAg,Temp,Gx,Gy,Gz,G-Total,Wt,Northing,Easting,Elev,CD,CBrg,DLeg,Quality,SerNum
Run Down,,,,,,,,,,,,,,,,,,,,
ms_aml_gyro_ms_1,0,10/3/2021,10:18:09,-39.44,99.39,22.15,23.67,-723.9,254.7,630,992.9,10.776,0,0,0,0,0,0, ,13179
ms_aml_gyro_ms_1,5,10/3/2021,10:26:15,-39.57,99.38,25.74,24.88,317,697.5,633.5,994.1,10.699,-0.6291,3.8063,-3.1807,3.8579,99.385,0.7974, ,13179
ms_aml_gyro_ms_1,10,10/3/2021,10:34:42,-39.88,99.22,27.56,25.79,-350,-677.5,636.6,993.3,10.786,-1.2505,7.6014,-6.376,7.7036,99.3417,1.9687, ,13179
ms_aml_gyro_ms_1,15,10/3/2021,10:43:08,-40.15,98.76,24.67,26.7,301.4,697.4,641.2,994.2,10.775,-1.8489,11.3838,-9.591,11.5329,99.2254,2.689, ,13179
ms_aml_gyro_ms_1,20,10/3/2021,10:51:16,-40.3,97.84,28.1,27.3,661.8,-370.1,643.9,994.8,10.759,-2.4,15.1613,-12.8199,15.3501,98.9952,4.3145, ,13179
ms_aml_gyro_ms_1,25,10/3/2021,10:59:20,-40.36,97.3,24.77,27.91,-331,-681.2,643.8,994,10.808,-2.9022,18.9399,-16.0557,19.1609,98.7118,2.4798, ,13179
ms_aml_gyro_ms_1,30,10/3/2021,11:06:49,-40.29,97.11,23.26,28.21,694.9,-304.5,643.6,994.9,10.74,-3.3802,22.7217,-19.2913,22.9718,98.4615,0.9867, ,13179
ms_aml_gyro_ms_1,35,10/3/2021,11:14:56,-40.25,97.12,23,28.82,-305.8,-694.6,642.4,994.3,10.762,-3.8525,26.5074,-22.5232,26.7859,98.2692,0.2589, ,13179
ms_aml_gyro_ms_1,40,10/3/2021,11:22:41,-40.17,97.8,23.45,29.12,-301.9,-697,641.2,994.1,10.783,-4.3482,30.2934,-25.7513,30.6039,98.1682,3.158, ,13179
ms_aml_gyro_ms_1,45,10/3/2021,11:31:09,-40.14,97.25,23.99,29.42,315.9,691.6,641.4,994.7,10.776,-4.8487,34.0819,-28.9757,34.4251,98.0969,2.5162, ,13179
ms_aml_gyro_ms_1,50,10/3/2021,11:38:54,-40.09,97.87,24.42,29.73,310,694.4,640.3,994.1,10.707,-5.3519,37.8725,-32.1972,38.2488,98.0434,2.8444, ,13179
ms_aml_gyro_ms_1,55,10/3/2021,11:47:01,-40,96.6,21.68,30.03,704.1,-289.9,640.1,994.8,10.696,-5.8339,41.6697,-35.414,42.0761,97.9698,5.8448, ,13179
ms_aml_gyro_ms_1,57,10/3/2021,11:54:30,-39.92,97.05,21.9,30.33,282.1,708,638.3,994.1,10.828,-6.0162,43.1918,-36.6985,43.6088,97.9297,5.306, ,13179
ms_aml_gyro_ms_1,57,10/3/2021,12:01:18,-39.92,97.93,22.77,30.33,704.8,-291.2,638.9,994.9,10.79,-6.0162,43.1918,-36.6985,43.6088,97.9297,0, ,13179
ms_aml_gyro_ms_1,55,10/3/2021,12:09:42,-40,97.72,20.78,30.33,-718.3,253,638.1,993.6,10.802,-5.8074,41.6732,-35.414,42.0759,97.9335,2.6141, ,13179
ms_aml_gyro_ms_1,50,10/3/2021,12:18:10,-40.09,97.11,19.83,30.33,717.8,-253.5,641.2,995.3,10.723,-5.3132,37.8774,-32.1971,38.2483,97.985,2.865, ,13179
ms_aml_gyro_ms_1,45,10/3/2021,12:26:15,-40.18,97.31,20.23,30.03,-254.4,-715.7,641.8,994.4,10.753,-4.8336,34.0848,-28.9744,34.4258,98.0713,1.0504, ,13179
ms_aml_gyro_ms_1,40,10/3/2021,12:34:23,-40.19,97.7,21.64,29.73,-711.4,267.8,640.4,993.9,10.74,-4.3346,30.2975,-25.7484,30.606,98.142,1.8341, ,13179
ms_aml_gyro_ms_1,35,10/3/2021,12:42:29,-40.23,97.68,23.06,29.73,293.9,699.8,641.7,994,10.847,-3.8234,26.5134,-22.5205,26.7876,98.2059,0.2938, ,13179
ms_aml_gyro_ms_1,30,10/3/2021,12:50:17,-40.29,97.11,19.65,29.42,242.1,718.3,642.5,993.7,10.736,-3.3321,22.7295,-19.2893,22.9724,98.3401,2.6352, ,13179
ms_aml_gyro_ms_1,25,10/3/2021,12:57:45,-40.36,98.77,24.3,29.12,-697.5,295.9,642.6,993.4,10.885,-2.8055,18.9541,-16.0538,19.1606,98.4195,7.601, ,13179
ms_aml_gyro_ms_1,20,10/3/2021,13:05:50,-40.29,98.45,21.39,28.52,249.4,716.2,642.8,994.2,10.819,-2.2349,15.1851,-12.8182,15.3487,98.3726,1.537, ,13179
ms_aml_gyro_ms_1,15,10/3/2021,13:15:14,-40.15,98.7,20.87,28.21,722.7,-235.9,642.2,995.2,10.819,-1.6656,11.41,-9.5896,11.531,98.3054,1.4608, ,13179
ms_aml_gyro_ms_1,10,10/3/2021,13:23:21,-39.89,98.84,23.68,27.61,-291.6,-704.8,637.2,993.9,10.757,-1.0817,7.6258,-6.3742,7.7021,98.0731,1.6732, ,13179
ms_aml_gyro_ms_1,5,10/3/2021,13:31:09,-39.56,99.82,21.35,27,-233.9,-729.5,632.6,993.5,10.749,-0.4582,3.8311,-3.1788,3.8584,96.8202,4.9381, ,13179
ms_aml_gyro_ms_1,0,10/3/2021,13:39:32,-39.44,98.53,20.77,26.09,245.9,727.2,631.1,993.8,10.712,0.1568,0.0222,0.0014,0.1584,8.0582,6.0219, ,13179
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
